Match,Feature,FeatureCategory,Team,Value,ConfidencePct,PredictedOutcome
Tottenham vs Aston Villa,Away_ShotsOnTarget_L5,Other,Away,20.333333333333332,34.4,Away Win
Tottenham vs Aston Villa,Away_xGA_L5,Attack,Away,1.4,34.4,Away Win
Tottenham vs Aston Villa,Away_GA_L5,Attack,Away,0.6666666666666666,34.4,Away Win
Tottenham vs Aston Villa,Away_ShotsOnTargetA_L5,Other,Away,2.6666666666666665,34.4,Away Win
Liverpool vs Manchester Utd,xG_L5,Attack,Away,1.2,65.6,Home Win
Liverpool vs Manchester Utd,G_L5,Attack,Away,2.3333333333333335,65.6,Home Win
Liverpool vs Manchester Utd,ShotsOnTarget_L5,Other,Away,5.333333333333333,65.6,Home Win
Liverpool vs Manchester Utd,xGA_L5,Attack,Away,0.9666666666666668,65.6,Home Win
Liverpool vs Manchester Utd,GA_L5,Attack,Away,1.0,65.6,Home Win
Liverpool vs Manchester Utd,ShotsOnTargetA_L5,Other,Away,37.666666666666664,65.6,Home Win
Liverpool vs Manchester Utd,HomeOverall_xG_L5,Attack,Home,1.6,65.6,Home Win
Liverpool vs Manchester Utd,HomeOverall_G_L5,Attack,Home,1.2,65.6,Home Win
Liverpool vs Manchester Utd,HomeOverall_ShotsOnTarget_L5,Other,Home,20.0,65.6,Home Win
Liverpool vs Manchester Utd,HomeOverall_xGA_L5,Attack,Home,1.0399999999999998,65.6,Home Win
Liverpool vs Manchester Utd,HomeOverall_GA_L5,Attack,Home,1.0,65.6,Home Win
Liverpool vs Manchester Utd,HomeOverall_ShotsOnTargetA_L5,Other,Home,14.6,65.6,Home Win
Liverpool vs Manchester Utd,AwayOverall_xG_L5,Attack,Away,2.1,65.6,Home Win
Liverpool vs Manchester Utd,AwayOverall_G_L5,Attack,Away,1.6,65.6,Home Win
Liverpool vs Manchester Utd,AwayOverall_ShotsOnTarget_L5,Other,Away,28.2,65.6,Home Win
Liverpool vs Manchester Utd,AwayOverall_xGA_L5,Attack,Away,1.38,65.6,Home Win
Liverpool vs Manchester Utd,AwayOverall_GA_L5,Attack,Away,1.8,65.6,Home Win
Liverpool vs Manchester Utd,AwayOverall_ShotsOnTargetA_L5,Other,Away,22.0,65.6,Home Win
Liverpool vs Manchester Utd,Away_xG_L5,Attack,Away,1.6333333333333335,65.6,Home Win
Liverpool vs Manchester Utd,Away_G_L5,Attack,Away,0.6666666666666666,65.6,Home Win
Liverpool vs Manchester Utd,Away_ShotsOnTarget_L5,Other,Away,49.666666666666664,65.6,Home Win
